song_name,track_href,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
Never Be Like You,https://api.spotify.com/v1/tracks/12REd1n8PeiHHWOh066tpr,https://api.spotify.com/v1/audio-analysis/12REd1n8PeiHHWOh066tpr,0.559,0.164,119.247,0.0565,spotify:track:12REd1n8PeiHHWOh066tpr,0.436,0,4,0.494,0,233337,-5.445,0.237,audio_features,12REd1n8PeiHHWOh066tpr,1
Without You,https://api.spotify.com/v1/tracks/1X7yHtUfEDpxdHKijvVK7q,https://api.spotify.com/v1/audio-analysis/1X7yHtUfEDpxdHKijvVK7q,0.838,0.237,99.996,0.0435,spotify:track:1X7yHtUfEDpxdHKijvVK7q,0.0839,0,4,0.76,7,199500,-4.255,0.313,audio_features,1X7yHtUfEDpxdHKijvVK7q,1
Unsteady,https://api.spotify.com/v1/tracks/1RGsZfUwt2a6yLzL2yoj1X,https://api.spotify.com/v1/audio-analysis/1RGsZfUwt2a6yLzL2yoj1X,0.682,0.203,102.441,0.0574,spotify:track:1RGsZfUwt2a6yLzL2yoj1X,0.188,0.000317,1,0.409,9,193546,-6.123,0.253,audio_features,1RGsZfUwt2a6yLzL2yoj1X,0
This Girl - Kungs Vs. Cookin' On 3 Burners,https://api.spotify.com/v1/tracks/4AOpEhqA7zHxQjkHmRrAp7,https://api.spotify.com/v1/audio-analysis/4AOpEhqA7zHxQjkHmRrAp7,0.705,0.251,121.969,0.0383,spotify:track:4AOpEhqA7zHxQjkHmRrAp7,0.0807,4.81E-05,4,0.79,0,195561,-4.684,0.498,audio_features,4AOpEhqA7zHxQjkHmRrAp7,0
Starving,https://api.spotify.com/v1/tracks/2zDt2TfQbxiSPjTVJTgbwz,https://api.spotify.com/v1/audio-analysis/2zDt2TfQbxiSPjTVJTgbwz,0.628,0.105,99.898,0.0962,spotify:track:2zDt2TfQbxiSPjTVJTgbwz,0.409,0,4,0.724,4,181880,-4.219,0.508,audio_features,2zDt2TfQbxiSPjTVJTgbwz,1
Tiimmy Turner,https://api.spotify.com/v1/tracks/0zMxL4BTjSqCsUtfdlcL8G,https://api.spotify.com/v1/audio-analysis/0zMxL4BTjSqCsUtfdlcL8G,0.723,0.0781,122.812,0.0405,spotify:track:0zMxL4BTjSqCsUtfdlcL8G,0.168,0,4,0.602,6,239853,-3.021,0.321,audio_features,0zMxL4BTjSqCsUtfdlcL8G,1
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",https://api.spotify.com/v1/tracks/7K5dzhGda2vRTaAWYI3hrb,https://api.spotify.com/v1/audio-analysis/7K5dzhGda2vRTaAWYI3hrb,0.701,0.108,162.958,0.146,spotify:track:7K5dzhGda2vRTaAWYI3hrb,0.0114,0,4,0.632,7,215414,-5.921,0.488,audio_features,7K5dzhGda2vRTaAWYI3hrb,1
No Limit,https://api.spotify.com/v1/tracks/4DRDMf5vftalExCy0fHbHl,https://api.spotify.com/v1/audio-analysis/4DRDMf5vftalExCy0fHbHl,0.516,0.164,127.026,0.0601,spotify:track:4DRDMf5vftalExCy0fHbHl,0.0794,0,4,0.717,10,228905,-6.466,0.263,audio_features,4DRDMf5vftalExCy0fHbHl,0
Stressed Out,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,0.637,0.0602,169.977,0.141,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,2.29E-05,4,0.734,4,202333,-5.677,0.638,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,0
Work,https://api.spotify.com/v1/tracks/14WWzenpaEgQZlqPq2nk4v,https://api.spotify.com/v1/audio-analysis/14WWzenpaEgQZlqPq2nk4v,0.534,0.0919,91.974,0.0946,spotify:track:14WWzenpaEgQZlqPq2nk4v,0.0752,0,4,0.725,11,219320,-6.238,0.543,audio_features,14WWzenpaEgQZlqPq2nk4v,1
I Took A Pill In Ibiza - Seeb Remix,https://api.spotify.com/v1/tracks/7vfWgVGiLgnGbInU5lvSQg,https://api.spotify.com/v1/audio-analysis/7vfWgVGiLgnGbInU5lvSQg,0.79,0.0875,102.013,0.0893,spotify:track:7vfWgVGiLgnGbInU5lvSQg,0.037,9.95E-06,4,0.673,7,199227,-4.663,0.703,audio_features,7vfWgVGiLgnGbInU5lvSQg,0
Low Life,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,https://api.spotify.com/v1/audio-analysis/7EiZI6JVHllARrX9PUvAdX,0.331,0.146,143.974,0.0725,spotify:track:7EiZI6JVHllARrX9PUvAdX,0.337,0.283,4,0.722,8,313547,-7.789,0.102,audio_features,7EiZI6JVHllARrX9PUvAdX,1
7 Years,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,0.473,0.391,119.992,0.0514,spotify:track:5kqIPrATaCc2LqxVWzQGbk,0.287,0,4,0.765,10,237300,-5.829,0.343,audio_features,5kqIPrATaCc2LqxVWzQGbk,1
All In My Head (Flex),https://api.spotify.com/v1/tracks/62aXseVSNAFLRweK5nyb3F,https://api.spotify.com/v1/audio-analysis/62aXseVSNAFLRweK5nyb3F,0.79,0.0453,95.047,0.0561,spotify:track:62aXseVSNAFLRweK5nyb3F,0.0243,0,4,0.691,0,210587,-5.216,0.733,audio_features,62aXseVSNAFLRweK5nyb3F,0
Me Too,https://api.spotify.com/v1/tracks/1m4dXbkplvaOO4Wbdjbwxs,https://api.spotify.com/v1/audio-analysis/1m4dXbkplvaOO4Wbdjbwxs,0.694,0.479,123.822,0.1,spotify:track:1m4dXbkplvaOO4Wbdjbwxs,0.0963,1.21E-06,4,0.934,11,181240,-5.849,0.825,audio_features,1m4dXbkplvaOO4Wbdjbwxs,0
Don't Mind,https://api.spotify.com/v1/tracks/27PmvZoffODNFW2p7ehZTQ,https://api.spotify.com/v1/audio-analysis/27PmvZoffODNFW2p7ehZTQ,0.771,0.063,158.777,0.336,spotify:track:27PmvZoffODNFW2p7ehZTQ,0.0235,0,4,0.464,8,198237,-4.503,0.678,audio_features,27PmvZoffODNFW2p7ehZTQ,1
Gangsta,https://api.spotify.com/v1/tracks/1W7zkKgRv9mrLbfdQ8XyH3,https://api.spotify.com/v1/audio-analysis/1W7zkKgRv9mrLbfdQ8XyH3,0.447,0.303,121.48,0.0436,spotify:track:1W7zkKgRv9mrLbfdQ8XyH3,0.111,0,4,0.439,10,177029,-8.318,0.111,audio_features,1W7zkKgRv9mrLbfdQ8XyH3,0
Rise,https://api.spotify.com/v1/tracks/1Ui3r0Ih8F2MroiCWreCYi,https://api.spotify.com/v1/audio-analysis/1Ui3r0Ih8F2MroiCWreCYi,0.631,0.106,101.678,0.0486,spotify:track:1Ui3r0Ih8F2MroiCWreCYi,0.0502,0,4,0.535,11,203475,-6.396,0.506,audio_features,1Ui3r0Ih8F2MroiCWreCYi,1
Mama Said,https://api.spotify.com/v1/tracks/5ArQzSBevAdXTxRY6Ulhbq,https://api.spotify.com/v1/audio-analysis/5ArQzSBevAdXTxRY6Ulhbq,0.799,0.37,83.996,0.0703,spotify:track:5ArQzSBevAdXTxRY6Ulhbq,0.0447,6.40E-05,4,0.712,7,206903,-4.564,0.6,audio_features,5ArQzSBevAdXTxRY6Ulhbq,0
Love Yourself,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,0.378,0.28,100.418,0.438,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,0.835,0,4,0.609,4,233720,-9.828,0.529,audio_features,3hB5DgAiMAQ4DzYbsMq1IT,1
Cake By The Ocean,https://api.spotify.com/v1/tracks/2Aa1wE8ofs2tu59TOQrZKW,https://api.spotify.com/v1/audio-analysis/2Aa1wE8ofs2tu59TOQrZKW,0.765,0.0523,119.018,0.0517,spotify:track:2Aa1wE8ofs2tu59TOQrZKW,0.156,0,4,0.774,4,218440,-5.503,0.905,audio_features,2Aa1wE8ofs2tu59TOQrZKW,0
I Got the Keys,https://api.spotify.com/v1/tracks/51Nwg5wCDDiqcTntgJUlLo,https://api.spotify.com/v1/audio-analysis/51Nwg5wCDDiqcTntgJUlLo,0.623,0.219,140.171,0.13,spotify:track:51Nwg5wCDDiqcTntgJUlLo,0.00287,0.00145,4,0.686,1,219759,-3.425,0.166,audio_features,51Nwg5wCDDiqcTntgJUlLo,1
