song_name,track_href,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
No Frauds,https://api.spotify.com/v1/tracks/0WtVtCK5SEFvyyA5V8D9CI,https://api.spotify.com/v1/audio-analysis/0WtVtCK5SEFvyyA5V8D9CI,0.553,0.514,139.023,0.276,spotify:track:0WtVtCK5SEFvyyA5V8D9CI,0.0788,3.17E-06,4,0.865,1,272453,-7.012,0.435,audio_features,0WtVtCK5SEFvyyA5V8D9CI,1
There's Nothing Holdin' Me Back,https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu,0.8,0.0913,121.996,0.0583,spotify:track:79cuOz3SPQTuFrp8WgftAu,0.381,0,4,0.857,2,199440,-4.035,0.965,audio_features,79cuOz3SPQTuFrp8WgftAu,1
Lust for Life (with The Weeknd),https://api.spotify.com/v1/tracks/5LYQSNHZxEA880URXFHg6h,https://api.spotify.com/v1/audio-analysis/5LYQSNHZxEA880URXFHg6h,0.676,0.358,99.979,0.0582,spotify:track:5LYQSNHZxEA880URXFHg6h,0.588,0.00484,4,0.499,0,264011,-8.618,0.302,audio_features,5LYQSNHZxEA880URXFHg6h,0
HUMBLE.,https://api.spotify.com/v1/tracks/3GnLo84IkdSWCPYt6tnLll,https://api.spotify.com/v1/audio-analysis/3GnLo84IkdSWCPYt6tnLll,0.596,0.0897,149.996,0.118,spotify:track:3GnLo84IkdSWCPYt6tnLll,0.000339,2.05E-05,4,0.905,1,177604,-7.496,0.419,audio_features,3GnLo84IkdSWCPYt6tnLll,0
Closer,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.524,0.111,95.01,0.0338,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.414,0,4,0.748,8,244960,-5.599,0.635,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,1
Something Just Like This,https://api.spotify.com/v1/tracks/1dNIEtp7AY3oDAKCGg2XkH,https://api.spotify.com/v1/audio-analysis/1dNIEtp7AY3oDAKCGg2XkH,0.649,0.174,102.996,0.0362,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,0.0306,2.46E-05,4,0.607,11,247627,-6.695,0.47,audio_features,1dNIEtp7AY3oDAKCGg2XkH,0
Treat You Better,https://api.spotify.com/v1/tracks/6aEYqZL8uKzGYl3EK8lYjo,https://api.spotify.com/v1/audio-analysis/6aEYqZL8uKzGYl3EK8lYjo,0.817,0.104,163.252,0.355,spotify:track:6aEYqZL8uKzGYl3EK8lYjo,0.132,0,4,0.456,1,187973,-4.051,0.757,audio_features,6aEYqZL8uKzGYl3EK8lYjo,1
It Ain't Me (with Selena Gomez),https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,0.533,0.0864,99.968,0.0706,spotify:track:3eR23VReFzcdmS7TYCrhCe,0.119,0,4,0.64,0,220781,-6.596,0.5,audio_features,3eR23VReFzcdmS7TYCrhCe,1
This Is What You Came For,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.928,0.148,123.963,0.0331,spotify:track:0azC730Exh71aQlOt9Zj3y,0.199,0.124,4,0.63,9,222160,-2.787,0.46,audio_features,0azC730Exh71aQlOt9Zj3y,0
Chained To The Rhythm,https://api.spotify.com/v1/tracks/5ndfVSDyPq90jaIUhNPeby,https://api.spotify.com/v1/audio-analysis/5ndfVSDyPq90jaIUhNPeby,0.793,0.211,189.891,0.156,spotify:track:5ndfVSDyPq90jaIUhNPeby,0.089,0,4,0.446,0,237915,-5.365,0.464,audio_features,5ndfVSDyPq90jaIUhNPeby,1
The One,https://api.spotify.com/v1/tracks/619A7U0RtsSEvqJeJdazJ3,https://api.spotify.com/v1/audio-analysis/619A7U0RtsSEvqJeJdazJ3,0.303,0.294,99.991,0.0284,spotify:track:619A7U0RtsSEvqJeJdazJ3,0.238,8.09E-06,4,0.76,2,177573,-11.362,0.157,audio_features,619A7U0RtsSEvqJeJdazJ3,1
24K Magic,https://api.spotify.com/v1/tracks/2gFvRmQiWg9fN9i74Q0aiw,https://api.spotify.com/v1/audio-analysis/2gFvRmQiWg9fN9i74Q0aiw,0.803,0.153,106.97,0.0797,spotify:track:2gFvRmQiWg9fN9i74Q0aiw,0.034,0,4,0.818,1,225983,-4.282,0.618,audio_features,2gFvRmQiWg9fN9i74Q0aiw,1
Side To Side,https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz,0.738,0.292,159.145,0.247,spotify:track:4pLwZjInHj3SimIyN9SnOz,0.0408,0,4,0.648,6,226160,-5.883,0.606,audio_features,4pLwZjInHj3SimIyN9SnOz,0
Everyday,https://api.spotify.com/v1/tracks/3FiE2d325mIOc4YjkSLVJR,https://api.spotify.com/v1/audio-analysis/3FiE2d325mIOc4YjkSLVJR,0.738,0.15,130.971,0.0519,spotify:track:3FiE2d325mIOc4YjkSLVJR,0.0192,0,4,0.635,7,194840,-4.424,0.412,audio_features,3FiE2d325mIOc4YjkSLVJR,0
Tunnel Vision,https://api.spotify.com/v1/tracks/2BoS7pU92MQtynhQ0cZOLT,https://api.spotify.com/v1/audio-analysis/2BoS7pU92MQtynhQ0cZOLT,0.489,0.122,171.853,0.294,spotify:track:2BoS7pU92MQtynhQ0cZOLT,0.0576,9.91E-05,4,0.497,11,268187,-7.724,0.231,audio_features,2BoS7pU92MQtynhQ0cZOLT,0
How Would You Feel (Paean),https://api.spotify.com/v1/tracks/1lyNFzcCl9kXCof6GV32fV,https://api.spotify.com/v1/audio-analysis/1lyNFzcCl9kXCof6GV32fV,0.439,0.127,139.979,0.0269,spotify:track:1lyNFzcCl9kXCof6GV32fV,0.424,0,4,0.617,9,280533,-5.63,0.261,audio_features,1lyNFzcCl9kXCof6GV32fV,1
Thumbs,https://api.spotify.com/v1/tracks/3UjJP4ludb74a29P5EHEIo,https://api.spotify.com/v1/audio-analysis/3UjJP4ludb74a29P5EHEIo,0.722,0.0889,135.118,0.0577,spotify:track:3UjJP4ludb74a29P5EHEIo,0.025,0,4,0.721,8,216467,-3.56,0.122,audio_features,3UjJP4ludb74a29P5EHEIo,1
Forget Me Not (feat. Dorian),https://api.spotify.com/v1/tracks/4w4B2xveHWZ7F2aPmMvNHH,https://api.spotify.com/v1/audio-analysis/4w4B2xveHWZ7F2aPmMvNHH,0.664,0.285,134.836,0.0603,spotify:track:4w4B2xveHWZ7F2aPmMvNHH,0.0601,0,4,0.699,11,234830,-5.774,0.283,audio_features,4w4B2xveHWZ7F2aPmMvNHH,0
Reminder,https://api.spotify.com/v1/tracks/3IU6xbfNZosvTdRrGs8b2u,https://api.spotify.com/v1/audio-analysis/3IU6xbfNZosvTdRrGs8b2u,0.517,0.163,79.995,0.13,spotify:track:3IU6xbfNZosvTdRrGs8b2u,0.143,0,4,0.738,8,218880,-7.364,0.373,audio_features,3IU6xbfNZosvTdRrGs8b2u,1
